提交时间（自动）,整合包名称（必填）,你的评分,你的评论（必填）,你的玩家ID,是否名称敏感（必填）,提交者（自动）
2025年2月10日 00:05,宝藏猎人3,9.00 ,"我最喜欢的冒险包:)
玩法独特且完善 简单易上手
本质上属于刷子包 喜欢的就很喜欢
当然最重要的是和朋友一起下本 玩起来才有感觉
反伤怪去掉就有10:)",Hart_GS,否,ㅤ
2025年2月10日 00:08,宝藏猎人3,9.00 ,"玩了七八周目了3.3开始到3.16预计3.20接着开，真的很想说“我们那时候哪有这条件”，哈哈哈哈哈，其他就不说了上面说的很详细。说一下他们提出的问题的解决方案。
作者也考虑了人群，提供一些指令，战利品可以1-3倍，难度分为了7个：血量和伤害。水晶制作可以 无材料、1倍、3倍，局内设置路径点
如果你们开传送了注意一个问题，不要宝库外传送宝库内的人，容易出BUG。",YeziMoan,否,墨丶摆烂丶安
2025年2月12日 09:51,机械动力.奥术工程,7.00 ,"  - 优点：前期（第二章及以前）的体验良好，中后期的科技线也有可圈可点的地方，作者在科技与魔法融合部分的魔改很用心。
  - 缺点：部分自动化流程过于复杂，且很多地方能明显感受到作者的恶意，比如魔法第三章的时间构建部分，总体体验不如机械动力官方整合包。",Ratatosia,否,墨丶摆烂丶安
2025年2月12日 09:52,机械动力.奥术工程,8.50 ,"  - 纯纯的机动专家包，产线难度高。但除了科技线后期略水，其它产线设计都非常有趣。
  - 机械动力包中产线设计最顶级的包，虽然一些创意源于cab，但在质量上甚至超过了cab。
  - 作为一个机械动力主题包，还添加了气动、热力、新生魔艺、禁忌与奥秘这些中大型模组，但通过大量的魔改让这些mod很好的融入了机械动力。特别是两个魔法mod的魔改，直接把世界交互拉满了。终章的玩法也非常有创意。但由于后期一些产线难度过高且复杂，受众比较小。
  - 优化比较难绷，后期巨掉帧，建议基地分开造。",不要惊惶,否,墨丶摆烂丶安
2025年2月12日 09:53,机械动力.永无止境,9.00 ,"  - 顶级机动包没有之一，影响了之后的几乎所有机动包。矿车自动化、炼金、动力合成器算数和经济系统这些都是极具创新的顶级设计，且难度适中。是所有机械动力包中不得不品的一环。
  - 唯一缺点是内容不算多，如果内容多点这包真值10分。",不要惊惶,否,墨丶摆烂丶安
2025年2月12日 09:54,机械动力.永无止境,9.00 ,- 不愧是官方整合包，流程合理，产线够长。,Ashina Genichiro,否,墨丶摆烂丶安
2025年2月12日 10:01,机械动力.星辰,7.00 ,- 大量要铜又不能量产铜，生产线自动化起来还是比较简单的，体量有点小，任务很快就走完了。,ffSupver,否,墨丶摆烂丶安
2025年2月12日 10:02,机械动力.星辰,8.00 ,"  - 先说缺点。体量偏轻量化，任务线其实很短。任务引导有些问题，有的物品最优量产方法不是任务线给出的（甚至任务线的方法挺麻烦）。还有就是fabric的区块加载有些问题，至少ae2的空间锚用不了，必须ftbchunks，这点要注意。
  - 不过这个是少有的fabric机械动力包，优化挺不错的，渣机也能带得动。魔改不能算很多但合理。总之挺适合新手上手整合包的（虽然我本人也是新人），玩过机械动力但没玩过整合包的玩家还是能找到新鲜感的。",²,否,墨丶摆烂丶安
2025年2月12日 10:02,机械动力.星辰,6.00 ,"  - 先说优点，优秀的美术音乐设计，也可以看出作者在此包中注入的心血。
  - 任务设计在我看来还算可以，但实际游玩过程实在枯燥，评价为对cab的拙劣模仿。",amr_khaled,否,墨丶摆烂丶安
2025年2月12日 20:28,剑与王国,6.00 ,能玩，还行，但是模拟殖民地一直都容易出奇怪的bug，作者debug的速度也还行,xingyu,是,星宇
